Zc,E0Tn,betaTn,elastic
-3657.68008161,0.75811885,0.00069439,0.75811881
-3664.12905641,0.75602239,0.00069246,0.75602236
-3667.03372028,0.75782729,0.00069411,0.75782725
-3678.03382490,0.75969703,0.00070998,0.75969698
-3685.87836840,0.76008162,0.00069628,0.76008158
-3685.94165835,0.75921050,0.00069538,0.75921046
-3702.34198771,0.75829031,0.00069454,0.75829027
-3707.18404248,0.75688389,0.00069325,0.75688385
-3713.84543218,0.75805807,0.00069433,0.75805803
-3726.18708377,0.75671816,0.00069309,0.75671812
-3730.82123362,0.75695793,0.00069332,0.75695789
-3728.21096191,0.75934633,0.00069550,0.75934629
-3745.65075951,0.75624681,0.00069266,0.75624677
-3744.79948803,0.75992040,0.00069603,0.75992036
-3753.40905498,0.75553359,0.00069201,0.75553355
-3761.60721316,0.75883813,0.00069503,0.75883809
-3770.22375166,0.75767869,0.00069398,0.75767865
-3776.80547128,0.75920684,0.00069552,0.75920680
-3788.69791388,0.75900274,0.00069518,0.75900270
-3795.05934287,0.75732724,0.00069367,0.75732720
-3797.30259013,0.75998623,0.00069609,0.75998619
-3808.55659204,0.76036135,0.00069643,0.76036132
-3820.71042417,0.75481773,0.00069136,0.75481769
-3819.16616161,0.75799961,0.00069429,0.75799957
-3826.22621835,0.75914692,0.00069532,0.75914688
-3833.24541653,0.75954152,0.00069568,0.75954149
-3844.52670362,0.75782965,0.00069411,0.75782961
-3855.22025625,0.75838740,0.00069464,0.75838736
-3858.39649930,0.75731391,0.00069367,0.75731387
-3869.40464573,0.75696058,0.00069332,0.75696055
-3873.30800683,0.75504939,0.00069158,0.75504936
-3883.13677719,0.75883825,0.00069504,0.75883821
-3887.54880056,0.75888484,0.00070019,0.75888480
-3897.38600158,0.75862165,0.00077399,0.75862160
-3899.15814516,0.75862039,0.00069483,0.75862035
-3905.69836330,0.75862707,0.00069485,0.75862703
-3911.14204516,0.76028414,0.00069637,0.76028410
-3921.34418015,0.75891263,0.00069510,0.75891259
-3932.96248811,0.75791697,0.00069421,0.75791693
-3936.62912971,0.75962219,0.00069575,0.75962215
-3940.12882740,0.75856530,0.00069480,0.75856526
-3953.79345709,0.75615041,0.00069259,0.75615037
-3962.11665998,0.75861103,0.00069484,0.75861100
-3964.76939169,0.75737151,0.00069369,0.75737147
-3975.02539826,0.75619473,0.00069265,0.75619469
-3978.29078712,0.76039891,0.00069647,0.76039887
-3990.18336018,0.75694269,0.00069370,0.75694265
-3993.35638440,0.75970714,0.00069583,0.75970711
-4007.25879950,0.75736875,0.00069369,0.75736871
-4008.17739892,0.76014304,0.00069624,0.76014300
-4021.27111098,0.75611954,0.00069255,0.75611950
-4018.11408360,0.75946814,0.00069562,0.75946810
-4031.38367414,0.75676875,0.00069314,0.75676871
-4043.64279589,0.75552430,0.00069200,0.75552426
-4040.83413872,0.75821030,0.00069449,0.75821026
-4052.62557833,0.75866048,0.00069487,0.75866044
-4062.61126623,0.75806609,0.00069434,0.75806605
-4056.76835131,0.75714099,0.00073488,0.75714095
-4047.73247666,0.75816522,0.00069442,0.75816518
-4038.32689766,0.75825550,0.00069451,0.75825546
-4035.14691371,0.75722229,0.00069357,0.75722225
-4029.82878234,0.75616875,0.00069302,0.75616872
-4013.51989995,0.76112273,0.00069713,0.76112270
-4013.54354330,0.75629307,0.00069270,0.75629303
