Zc,E0Tn,betaTn,elastic
-4619.13664597,0.74678569,0.00068400,0.74678565
-4626.30091610,0.75145046,0.00068828,0.75145043
-4644.73810266,0.75198778,0.00068876,0.75198774
-4658.26047626,0.74888188,0.00068592,0.74888184
-4677.49823218,0.74860434,0.00068568,0.74860430
-4691.25714093,0.74833175,0.00068541,0.74833171
-4702.38184710,0.74869603,0.00068575,0.74869599
-4715.95259427,0.74827267,0.00068536,0.74827263
-4725.52851432,0.74963662,0.00068663,0.74963658
-4905.83331104,0.71047303,0.00065105,0.71047300
-4945.33630962,0.67819498,0.26045960,0.67204028
-4954.16082751,0.70345244,0.00064433,0.70345240
-4783.80824898,0.74724727,0.00068443,0.74724723
-4786.40481856,0.75200542,0.00068880,0.75200539
-4802.06593159,0.74950992,0.00068650,0.74950988
-5042.43507269,0.61740446,0.49079548,0.59302651
-5259.38726302,0.63985410,0.00058605,0.63985407
-5383.68072118,0.61815524,0.00056618,0.61815521
-4855.81307737,0.74836592,0.00068546,0.74836588
-4882.10576418,0.72560565,0.00066466,0.72560562
-4884.05019577,0.74881266,0.00068586,0.74881262
-5135.83644798,0.68576519,0.00062811,0.68576516
-5341.60407756,0.63747418,0.00058388,0.63747415
-5104.29872681,0.66186344,0.23871249,0.65656890
-4935.44321643,0.73982885,0.00067765,0.73982882
-5587.92869697,0.60540837,0.00055450,0.60540834
-4970.83990953,0.73054129,0.00066913,0.73054125
-4981.70506524,0.73374178,0.00067205,0.73374175
-4987.97256265,0.73793943,0.00067592,0.73793939
-5508.68912120,0.65057883,0.00059610,0.65057879
-5166.11866538,0.69926652,0.00064047,0.69926648
-5122.89563344,0.70628994,0.03622771,0.70617612
-5329.23779207,0.67967726,0.00062256,0.67967723
-5236.74140248,0.70427371,0.00064506,0.70427368
-5057.48144845,0.74906501,0.00068608,0.74906497
-5164.61115792,0.71114060,0.13478595,0.70957414
-5236.35752144,0.71144018,0.00065162,0.71144014
-5094.02577651,0.75270238,0.00068941,0.75270234
-5120.10899000,0.74880086,0.00068585,0.74880082
-5129.46819478,0.74978988,0.00068687,0.74978984
-5130.81719624,0.74987022,0.00068684,0.74987018
-5149.56729289,0.74717563,0.00068436,0.74717559
-5158.07340529,0.75111387,0.00068796,0.75111384
-5179.81951847,0.74751912,0.00068468,0.74751908
-5199.19527151,0.74758470,0.00068474,0.74758466
-5212.51592014,0.74832954,0.00068551,0.74832950
-5217.93447951,0.74911460,0.00068613,0.74911456
-5244.20875335,0.74775413,0.00068488,0.74775409
-5250.54858885,0.74970877,0.00084735,0.74970871
-5261.26826418,0.75133001,0.00068816,0.75132997
-5260.79550896,0.75218505,0.00068897,0.75218501
-5287.21094946,0.74875465,0.00068580,0.74875461
-5292.44648517,0.75258457,0.00068931,0.75258453
-5313.77119275,0.74784963,0.00068497,0.74784959
-5317.41362891,0.74881185,0.00068587,0.74881181
-5334.81911150,0.75182883,0.00068861,0.75182879
-5354.70240258,0.74810429,0.00068520,0.74810426
-5367.82677204,0.74641228,0.00068366,0.74641224
-5375.44724879,0.74883224,0.00068587,0.74883220
-5360.41137297,0.74955167,0.00068655,0.74955163
-5344.66727540,0.74927440,0.00068629,0.74927436
-5341.12659781,0.75195982,0.00068874,0.75195978
-5337.67951244,0.74935993,0.00068638,0.74935989
-5318.50671929,0.74833146,0.00068542,0.74833143
-5314.19365519,0.75160231,0.00068841,0.75160228
-5308.81865864,0.74845680,0.00069402,0.74845676
-5294.56767819,0.75032538,0.00068724,0.75032534
-5298.17721042,0.74503975,0.00068561,0.74503971
-5268.47809957,0.75343234,0.00069009,0.75343230
-5328.31617042,0.72583133,0.00066482,0.72583129
-5304.16196966,0.73872776,0.00072405,0.73872771
-5250.06434204,0.74866458,0.00068617,0.74866454
-5231.66453546,0.74859211,0.00068565,0.74859207
-5228.57916560,0.74739060,0.00069685,0.74739056
-5207.38398542,0.74992934,0.00068688,0.74992930
-5208.21406793,0.74833956,0.00068543,0.74833952
-5196.70065113,0.74683284,0.00068404,0.74683280
-5184.75849419,0.74927072,0.00068630,0.74927068
-5170.44125288,0.74949670,0.00070089,0.74949666
-5165.46835538,0.74951719,0.00068650,0.74951715
-5308.31877536,0.71410114,0.00065562,0.71410111
-5135.79245067,0.75255038,0.00068930,0.75255034
-5238.75377301,0.67945430,0.36698718,0.66720304
-5513.96561629,0.66062913,0.00060508,0.66062909
-5322.30626741,0.70177869,0.00064278,0.70177865
-5316.05678673,0.69022929,0.00063219,0.69022926
-5751.66676078,0.62781740,0.00057503,0.62781736
-5251.38959644,0.68896295,0.00063131,0.68896291
-5548.37428781,0.59558375,0.00054551,0.59558372
-5709.33133792,0.54697962,0.37071708,0.53136747
-5841.56280081,0.60406024,0.00055327,0.60406021
-5366.92761920,0.58275839,0.54742146,0.55036146
-5508.31484748,0.62446983,0.00057196,0.62446980
-5593.71668952,0.62728497,0.00057454,0.62728494
-5303.02789406,0.57800176,0.72117370,0.51997579
-5014.57459273,0.73184657,0.00067033,0.73184654
-4986.45717451,0.73593988,0.00090738,0.73593981
-4980.34511978,0.72841444,0.04025084,0.72827820
-5640.41452896,0.61721205,0.00056531,0.61721201
-5482.76528951,0.62511964,0.00057256,0.62511961
-4944.61209911,0.74747639,0.00068464,0.74747635
-4935.21491260,0.74686376,0.00068408,0.74686372
-4930.32064357,0.74518881,0.00068254,0.74518877
-4910.63447643,0.74734283,0.00070002,0.74734279
-5121.00842287,0.69166691,0.00063352,0.69166688
-5100.86999118,0.69072084,0.00063266,0.69072080
-5019.41862809,0.70921935,0.00065321,0.70921931
-4879.01787199,0.74678655,0.00068400,0.74678651
-4862.91764365,0.75023221,0.00068716,0.75023217
-4850.87960375,0.75079646,0.00068768,0.75079642
-4849.91309415,0.74745548,0.00068462,0.74745544
-4829.38609484,0.75081473,0.00068769,0.75081469
-4822.61566191,0.75017855,0.00068710,0.75017851
-4802.12600884,0.75226167,0.00068902,0.75226163
-4807.42837382,0.75053158,0.00068743,0.75053154
-4787.92090198,0.75063664,0.00068752,0.75063661
-4786.72184061,0.74610992,0.00068340,0.74610988
-4762.92366340,0.75207733,0.00068886,0.75207729
-4749.19647350,0.75183438,0.00068863,0.75183434
-4749.45204262,0.74851869,0.00071508,0.74851864
-4747.51688009,0.74902289,0.00068605,0.74902285
-4729.90067097,0.75143143,0.00068826,0.75143139
-4741.28752254,0.75012510,0.00068706,0.75012506
-4749.32065676,0.74818441,0.00068530,0.74818438
-4768.95587239,0.74673751,0.00068398,0.74673747
-4778.10672910,0.74781532,0.00068494,0.74781529
-4783.10162329,0.74997674,0.00068695,0.74997670
-4807.48699309,0.74722952,0.00068440,0.74722948
-4806.35045698,0.75125581,0.00068809,0.75125577
-4837.24788805,0.74781650,0.00068494,0.74781646
-4825.24854609,0.75356162,0.00069021,0.75356158
-4856.80427313,0.74820940,0.00068531,0.74820936
-4861.22764427,0.74944850,0.00069211,0.74944846
-4869.24355159,0.75124096,0.00068808,0.75124092
-4931.30045425,0.73369705,0.00067201,0.73369701
-5027.73461155,0.71040216,0.00065067,0.71040213
-4907.89148318,0.75190509,0.00068870,0.75190505
-4920.44375278,0.75041582,0.00068733,0.75041578
-4944.91156698,0.74182582,0.00069083,0.74182578
-5286.59901556,0.65131370,0.00059656,0.65131367
-4960.88835199,0.74783536,0.00068496,0.74783533
-4971.07570919,0.74916589,0.00068618,0.74916585
-5120.84009366,0.69053034,0.09963182,0.68964929
-5002.45355642,0.75213962,0.00068892,0.75213958
-5487.27500059,0.58235791,0.38232510,0.56677562
-5865.79949501,0.61027109,0.00055897,0.61027106
-5841.30645513,0.56930861,0.00101964,0.56930850
-5997.62513434,0.53039007,0.20813082,0.52536379
-5316.57571192,0.65451433,0.04807706,0.65429800
-5319.15569957,0.65190130,0.30347753,0.64318988
-5899.23743640,0.60418025,0.00055338,0.60418022
-6050.45176680,0.57487563,0.00052654,0.57487560
-5991.70285601,0.57934123,0.00054164,0.57934119
-6090.53910126,0.60401758,0.00055323,0.60401755
-6072.13271435,0.57630083,0.00052784,0.57630080
-5958.79600766,0.58449803,0.00105205,0.58449791
-5951.91894788,0.58148132,0.00053260,0.58148129
-5976.84042247,0.61407515,0.00056244,0.61407512
